,model,dataset,domain,num_variates,prediction_length,frequency,inference_time,time_series_avg_len,num_samples,normalized_inference_time,normalized_time_per_input_output_point,Model,"Dataset, Frequency, Term",dataset_name,term
89,chronos_bolt_small,bitbrains_fast_storage/5T/medium,Web/CloudOps,2,480,5T,84.06403684616089,7920.0,2500,7.005336403846741e-05,8.845121722028713e-09,Chr.B.S,"bitbrains_fast_storage, 5T, medium",bitbrains_fast_storage,medium
90,chronos_bolt_small,bitbrains_fast_storage/5T/short,Web/CloudOps,2,48,5T,100.69875571727752,8184.0,22500,9.323958862710881e-05,1.1392911611328056e-08,Chr.B.S,"bitbrains_fast_storage, 5T, short",bitbrains_fast_storage,short
91,chronos_bolt_small,bitbrains_fast_storage/H/short,Web/CloudOps,2,48,H,5.338826513290405,649.0,2500,4.4490220944086705e-05,6.855195831138167e-08,Chr.B.S,"bitbrains_fast_storage, H, short",bitbrains_fast_storage,short
92,chronos_bolt_small,bitbrains_rnd/5T/long,Web/CloudOps,2,720,5T,49.8748777627945,7560.0,1000,6.92706635594368e-05,9.162786185110688e-09,Chr.B.S,"bitbrains_rnd, 5T, long",bitbrains_rnd,long
93,chronos_bolt_small,bitbrains_rnd/5T/medium,Web/CloudOps,2,480,5T,33.59090111255646,7920.0,1000,6.998104398449262e-05,8.835990402082401e-09,Chr.B.S,"bitbrains_rnd, 5T, medium",bitbrains_rnd,medium
94,chronos_bolt_small,bitbrains_rnd/5T/short,Web/CloudOps,2,48,5T,40.45806138515472,8184.0,9000,9.365291987304334e-05,1.1443416406774602e-08,Chr.B.S,"bitbrains_rnd, 5T, short",bitbrains_rnd,short
95,chronos_bolt_small,bitbrains_rnd/H/short,Web/CloudOps,2,48,H,2.1657614707946777,648.0,1000,4.512003064155579e-05,6.962967691598115e-08,Chr.B.S,"bitbrains_rnd, H, short",bitbrains_rnd,short
96,chronos_bolt_small,bizitobs_application/10S/long,Web/CloudOps,2,900,10S,0.38683204650878905,7934.0,1,0.00042981338500976563,5.417360537052755e-08,Chr.B.S,"bizitobs_application, 10S, long",bizitobs_application,long
97,chronos_bolt_small,bizitobs_application/10S/medium,Web/CloudOps,2,600,10S,0.2854862451553345,7934.0,2,0.00023790520429611207,2.9985531169159574e-08,Chr.B.S,"bizitobs_application, 10S, medium",bizitobs_application,medium
98,chronos_bolt_small,bizitobs_application/10S/short,Web/CloudOps,2,60,10S,0.11246271133422847,8354.0,15,0.00012495856814914274,1.4957932505284024e-08,Chr.B.S,"bizitobs_application, 10S, short",bizitobs_application,short
